case_id,state,district,court_type,case_type,sub_type,filing_date,first_hearing_date,last_hearing_date,judgment_date,duration_days,adjournment_count,hearing_count,avg_hearing_gap_days,stage_count,case_complexity,evidence_quality,lawyer_experience_years,lawyer_win_rate,judge_experience_years,court_backlog,number_of_parties,delay_tactics_used,opponent_aggressiveness,evidence_delay_days,procedural_abuse_score,outcome,resolution_type,data_quality_flag,out_of_distribution_flag
LC000013,Karnataka,Mysuru,District Court,civil,Partition,2018-08-08,2018-09-18,2019-03-13,2019-03-17,221,5,13,17,2,0.323,0.494,15,0.673,16,3854,2,true,0.322,3,0.509,Withdrawn,Settlement,clean,false
LC000014,Maharashtra,Amravati,Family Court,criminal,Drug Trafficking,2020-01-16,2020-03-28,2020-11-01,2020-11-18,307,5,7,43,3,0.391,0.584,20,0.556,18,2042,2,true,0.397,4,0.243,Defendant Won,Dismissed on Merit,clean,false
LC000015,Maharashtra,Thane,High Court,criminal,Fraud,2018-11-15,2018-12-26,2019-07-15,2019-07-16,243,7,10,24,8,0.398,0.469,10,0.64,14,1469,2,false,0.532,1,0.377,Defendant Won,Dismissed on Merit,clean,false
LC000016,Tamil Nadu,Tiruppur,Magistrate Court,civil,Property Dispute,2021-10-19,2022-01-09,2023-01-23,2023-02-18,487,0,5,97,8,0.794,0.077,18,0.601,26,1606,3,false,0.133,7,0.169,Plaintiff Won,Trial,clean,false
LC000017,Delhi,South West Delhi,Sessions Court,civil,Defamation,2022-09-10,2022-11-15,2023-08-29,2023-09-22,377,5,11,34,8,0.291,0.386,12,0.67,9,1268,2,false,0.284,16,0.066,Appeal Pending,Summary Judgment,clean,false
LC000018,Andaman and Nicobar Islands,North and Middle Andaman,Family Court,criminal,Robbery,2014-04-13,2014-07-04,2015-02-12,2015-02-17,310,9,13,23,7,0.48,0.552,20,0.793,9,2147,6,true,0.45,10,0.288,Settled,Mediation,clean,false
LC000019,Karnataka,Belagavi,District Court,criminal,Kidnapping,2019-01-25,2019-02-28,2019-08-11,2019-08-20,207,5,8,25,4,0.474,0.255,1,0.634,16,1677,2,false,0.327,7,0.4,Settled,Lok Adalat,clean,false
LC000020,Chandigarh,Chandigarh,Consumer Forum,civil,Partition,2011-05-04,2011-06-02,2013-01-10,2013-01-14,621,8,14,44,4,0.595,0.435,24,0.457,7,3154,3,false,0.233,4,0.234,Plaintiff Won,Summary Judgment,clean,false
LC000021,Chhattisgarh,Raipur,Sessions Court,criminal,Cheating,2016-08-18,2016-09-16,2017-01-29,2017-03-26,220,1,2,110,8,0.218,0.42,5,0.414,15,1005,2,false,0.153,3,0.291,Plaintiff Won,Dismissed on Merit,clean,false
LC000022,Maharashtra,Solapur,Magistrate Court,civil,Succession,2010-07-16,2010-08-23,2012-01-08,2012-02-27,591,11,12,49,4,0.16,0.325,9,0.498,13,3486,2,true,0.779,17,0.489,Dismissed,Summary Judgment,clean,false
LC000023,Uttarakhand,Haridwar,Consumer Forum,criminal,Dowry Harassment,2021-01-29,2021-04-16,2022-09-17,2022-10-16,625,9,15,41,7,0.549,0.437,6,0.775,19,3508,2,true,0.493,29,0.244,Partially Allowed,Summary Judgment,clean,false
LC000024,Telangana,Karimnagar,Family Court,civil,Property Dispute,2015-01-03,2015-03-23,2016-08-23,2016-08-31,606,9,14,43,4,0.296,0.059,7,0.665,18,1553,3,true,0.606,17,0.286,Defendant Won,Trial,clean,false
LC000025,Assam,Barpeta,District Court,criminal,Cybercrime,2011-10-07,2011-10-30,2012-05-30,2012-07-26,293,5,9,32,8,0.486,0.255,9,0.629,18,2056,5,false,0.286,4,0.429,Settled,Lok Adalat,clean,false
LC000026,Maharashtra,Kolhapur,Sessions Court,civil,Succession,2010-07-25,2010-10-16,2012-05-27,2012-06-18,694,11,17,40,4,0.356,0.224,22,0.397,22,3809,5,false,0.509,8,0.28,Dismissed,Dismissed on Merit,clean,false
LC000027,Uttar Pradesh,Noida,Sessions Court,civil,Easement,2018-06-23,2018-08-19,2020-03-16,2020-05-09,686,7,11,62,4,0.558,0.261,3,0.311,14,1553,5,true,0.39,29,0.337,Plaintiff Won,Dismissed on Merit,clean,false
LC000028,Maharashtra,Pune,Labour Court,criminal,Fraud,2018-09-03,2018-11-20,2019-02-11,2019-02-22,172,4,6,28,7,0.623,0.098,2,0.448,13,2450,2,true,0.093,30,0.236,Withdrawn,Settlement,clean,false
LC000029,Uttar Pradesh,Agra,Labour Court,civil,Succession,2017-06-19,2017-09-02,2018-03-30,2018-04-24,309,6,13,23,3,0.457,0.153,1,0.641,13,3780,2,true,0.204,15,0.342,Settled,Settlement,clean,false
LC000030,Gujarat,Ahmedabad,Consumer Forum,criminal,Kidnapping,2021-12-22,2022-03-16,2022-08-15,2022-10-01,283,6,12,23,6,0.5,0.188,21,0.273,13,737,2,false,0.421,35,0.359,Dismissed,Dismissed on Merit,clean,false
LC000031,Karnataka,Mangaluru,Labour Court,civil,Succession,2014-10-21,2014-12-26,2015-04-23,2015-06-14,236,2,4,59,3,0.863,0.503,15,0.604,18,2336,2,false,0.095,0,0.126,Settled,Mediation,clean,false
LC000032,Odisha,Khordha,High Court,criminal,Assault,2019-04-29,2019-05-27,2020-01-17,2020-02-03,280,7,12,23,5,0.123,0.183,6,0.729,15,2115,2,true,0.584,31,0.436,Settled,Settlement,clean,false
LC000033,Kerala,Kozhikode,Labour Court,criminal,Assault,2013-04-22,2013-05-09,2015-07-19,2015-07-20,819,8,12,68,2,0.705,0.416,6,0.659,26,4661,2,true,0.561,0,0.225,Plaintiff Won,Trial,clean,false
LC000034,Andhra Pradesh,East Godavari,Magistrate Court,civil,Easement,2018-03-20,2018-06-09,2020-02-11,2020-04-11,753,3,10,75,5,0.831,0.37,13,0.5,17,3102,2,false,0.338,5,0.258,Defendant Won,Summary Judgment,clean,false
LC000035,Uttar Pradesh,Lucknow,District Court,criminal,Theft,2018-07-08,2018-08-21,2020-05-13,2020-07-08,731,2,7,104,8,0.345,0.12,2,0.612,10,1854,3,true,0.28,4,0.263,Partially Allowed,Summary Judgment,clean,true
LC000036,Jammu and Kashmir,Srinagar,District Court,criminal,Fraud,2013-04-23,2013-06-20,2014-04-18,2014-04-30,372,2,6,62,7,0.436,0.292,26,0.621,14,1513,4,false,0.299,26,0.297,Defendant Won,Dismissed on Merit,clean,false
LC000037,Haryana,Karnal,Family Court,civil,Defamation,2013-01-02,2013-03-22,2014-07-10,2014-08-25,600,5,10,60,4,0.799,0.213,20,0.508,20,2734,3,false,0.186,13,0.172,Partially Allowed,Trial,clean,false
LC000038,Telangana,Hyderabad,Consumer Forum,criminal,Dowry Harassment,2011-11-13,2011-12-10,2012-08-13,2012-09-05,297,5,6,49,2,0.393,0.198,16,0.775,24,1226,2,false,0.282,14,0.184,Partially Allowed,Trial,clean,false
LC000039,Odisha,Mayurbhanj,Magistrate Court,criminal,Cybercrime,2015-02-09,2015-04-19,2016-06-15,2016-07-23,530,10,18,29,6,0.782,0.463,15,0.708,16,1709,2,true,0.834,15,0.417,Defendant Won,Summary Judgment,clean,false
LC000040,Maharashtra,Nagpur,High Court,civil,Contract Breach,2020-02-19,2020-04-13,2021-10-12,2021-11-25,645,8,11,58,5,0.806,0.574,18,0.767,8,2338,3,true,0.535,2,0.392,Partially Allowed,Trial,clean,false
LC000041,Uttar Pradesh,Bareilly,Family Court,criminal,Cybercrime,2012-09-23,2012-11-04,2013-10-14,2013-12-01,434,4,12,36,2,0.189,0.533,12,0.531,12,3612,2,false,0.143,8,0.188,Partially Allowed,Summary Judgment,clean,false
LC000042,Uttar Pradesh,Kanpur Nagar,High Court,civil,Partition,2019-05-18,2019-06-02,2021-08-18,2021-08-25,830,9,11,75,2,0.598,0.26,2,0.567,9,3778,3,false,0.254,8,0.396,Defendant Won,Default Judgment,clean,false
LC000043,Meghalaya,East Khasi Hills,Magistrate Court,criminal,Robbery,2012-11-18,2012-12-14,2015-01-18,2015-02-20,824,11,13,63,6,0.549,0.028,10,0.789,17,3549,2,false,0.607,9,0.404,Defendant Won,Trial,clean,false
LC000044,Madhya Pradesh,Jabalpur,Civil Court,criminal,Murder,2019-06-26,2019-08-12,2020-09-09,2020-10-26,488,5,12,40,8,0.4,0.271,15,0.265,21,2528,4,true,0.634,44,0.375,Defendant Won,Dismissed on Merit,clean,false
LC000045,Rajasthan,Jodhpur,Labour Court,criminal,Murder,2013-05-17,2013-08-11,2015-03-13,2015-04-28,711,11,14,50,5,0.209,0.402,14,0.368,11,4637,5,false,0.593,40,0.28,Dismissed,Summary Judgment,clean,false
LC000046,West Bengal,South 24 Parganas,Labour Court,civil,Property Dispute,2011-07-12,2011-09-27,2012-03-20,2012-05-19,312,1,2,120,7,0.341,0.149,17,0.448,8,4023,2,false,0.174,26,0.276,Withdrawn,Settlement,clean,false
LC000047,Telangana,Warangal,District Court,criminal,Theft,2018-06-21,2018-09-01,2019-06-08,2019-07-01,375,2,7,53,4,0.339,0.415,18,0.649,6,1106,3,true,0.483,28,0.328,Defendant Won,Default Judgment,clean,false
LC000048,West Bengal,Kolkata,Consumer Forum,civil,Easement,2020-03-01,2020-04-26,2021-02-15,2021-03-20,384,0,3,120,4,0.562,0.303,15,0.794,14,1108,2,false,0.136,21,0.251,Partially Allowed,Trial,clean,false
LC000049,West Bengal,Burdwan,Sessions Court,criminal,Robbery,2017-11-24,2018-01-30,2019-12-05,2019-12-20,756,8,12,63,3,0.501,0.189,15,0.398,13,3059,3,true,0.434,77,0.409,Dismissed,Summary Judgment,clean,false
LC000050,Jammu and Kashmir,Kathua,Family Court,civil,Injunction,2018-04-24,2018-05-30,2019-06-09,2019-06-12,414,5,12,34,6,0.643,0.259,19,0.5,9,1132,2,false,0.225,51,0.366,Plaintiff Won,Dismissed on Merit,clean,false
LC000051,Maharashtra,Aurangabad,Sessions Court,civil,Property Dispute,2016-10-30,2016-11-15,2018-07-31,2018-08-05,644,8,15,42,3,0.491,0.168,9,0.714,11,2313,3,false,0.724,83,0.337,Dismissed,Summary Judgment,clean,false
LC000052,Nagaland,Mokokchung,Labour Court,criminal,Theft,2012-05-13,2012-08-10,2014-08-23,2014-09-01,841,8,9,93,3,0.826,0.404,19,0.718,7,4790,4,true,0.444,3,0.374,Dismissed,Default Judgment,noisy,false
LC000053,Tamil Nadu,Erode,Consumer Forum,criminal,Theft,2011-11-04,2012-01-14,2012-03-15,2012-05-04,182,5,13,15,8,0.566,0.859,21,0.588,12,2044,3,false,0.319,5,0.107,Settled,Lok Adalat,clean,false
LC000054,Mizoram,Champhai,Consumer Forum,criminal,Assault,2017-07-25,2017-10-21,2018-07-25,2018-08-30,401,4,10,40,8,0.074,0.236,6,0.838,17,2648,4,false,0.313,10,0.151,Defendant Won,Dismissed on Merit,clean,false
LC000055,Karnataka,Belagavi,Labour Court,civil,Partition,2021-06-08,2021-07-05,2023-06-24,2023-07-27,779,7,13,59,3,0.422,0.105,16,0.384,23,2646,2,true,0.539,2,0.264,Defendant Won,Default Judgment,clean,false
LC000056,Tamil Nadu,Vellore,District Court,criminal,Fraud,2012-02-03,2012-03-24,2012-08-24,2012-10-08,248,2,9,27,5,0.734,0.585,1,0.442,9,1868,2,false,0.158,0,0.217,Plaintiff Won,Summary Judgment,clean,true
LC000057,Sikkim,West Sikkim,Family Court,criminal,Fraud,2022-08-04,2022-09-24,2022-11-08,2022-12-26,144,2,3,48,2,0.515,0.385,10,0.622,23,2521,2,false,0.074,6,0.197,Withdrawn,Settlement,clean,false
LC000058,Karnataka,Belagavi,District Court,criminal,Kidnapping,2018-11-20,2019-02-18,2020-08-25,2020-09-01,651,8,16,40,6,0.107,0.652,13,0.441,10,3305,2,true,0.598,3,0.394,Plaintiff Won,Default Judgment,clean,false
LC000059,Bihar,Gaya,High Court,civil,Mortgage,2021-09-22,2021-12-17,2022-09-13,2022-10-06,379,7,15,25,7,0.149,0.345,19,0.6,19,1122,3,false,0.572,2,0.363,Defendant Won,Trial,clean,false
LC000060,Odisha,Khordha,Labour Court,civil,Property Dispute,2010-05-28,2010-07-02,2012-05-16,2012-07-10,774,6,10,77,3,0.332,0.186,8,0.625,15,2529,6,true,0.585,19,0.121,Plaintiff Won,Trial,clean,false
LC000061,Uttar Pradesh,Varanasi,Family Court,civil,Partition,2015-12-05,2016-02-18,2017-04-16,2017-05-13,525,8,10,52,8,0.236,0.144,12,0.638,26,2473,2,false,0.66,26,0.434,Defendant Won,Trial,clean,false
LC000062,Telangana,Warangal,Labour Court,criminal,Robbery,2020-10-04,2020-11-17,2021-08-28,2021-09-21,352,10,15,23,5,0.752,0.276,21,0.508,10,3565,2,false,0.624,3,0.512,Settled,Settlement,clean,false
LC000063,West Bengal,Murshidabad,Sessions Court,criminal,Murder,2020-10-15,2020-11-24,2022-01-19,2022-02-06,479,7,14,34,7,0.239,0.702,12,0.765,13,1844,2,true,0.452,10,0.171,Appeal Pending,Default Judgment,clean,false
LC000064,Meghalaya,West Khasi Hills,Consumer Forum,criminal,Theft,2022-12-06,2023-02-15,2023-11-28,2023-12-08,367,11,17,21,5,0.208,0.304,13,0.759,12,2795,2,false,0.455,37,0.192,Defendant Won,Summary Judgment,noisy,false
LC000065,Delhi,South Delhi,District Court,civil,Property Dispute,2016-10-23,2017-01-08,2017-07-27,2017-09-16,328,5,12,27,4,0.127,0.079,7,0.614,27,1564,2,false,0.274,19,0.181,Defendant Won,Default Judgment,clean,false
LC000066,Tamil Nadu,Tiruppur,High Court,civil,Injunction,2020-01-28,2020-02-26,2021-12-19,2022-01-26,729,9,10,72,3,0.096,0.402,23,0.7,17,3718,3,false,0.665,9,0.391,Dismissed,Default Judgment,clean,false
LC000067,Manipur,Imphal West,Labour Court,civil,Property Dispute,2021-03-03,2021-05-16,2021-08-26,2021-10-21,232,5,7,33,8,0.893,0.356,6,0.685,16,1122,2,false,0.274,3,0.253,Settled,Mediation,clean,false
LC000068,Chhattisgarh,Durg,High Court,civil,Matrimonial,2019-08-09,2019-10-09,2020-12-01,2020-12-03,482,8,13,37,6,0.186,0.364,12,0.796,17,2967,2,true,0.474,39,0.354,Settled,Settlement,clean,false
LC000069,West Bengal,Malda,Consumer Forum,civil,Property Dispute,2019-11-08,2020-01-08,2021-03-19,2021-04-14,523,8,9,58,7,0.797,0.433,27,0.759,11,1542,3,false,0.462,6,0.351,Defendant Won,Trial,clean,false
LC000070,Gujarat,Anand,Consumer Forum,criminal,Kidnapping,2018-04-18,2018-07-07,2019-01-23,2019-01-31,288,5,9,32,5,0.077,0.447,1,0.27,12,2002,2,false,0.371,3,0.036,Plaintiff Won,Trial,clean,false
LC000071,Manipur,Bishnupur,Civil Court,civil,Partition,2020-09-21,2020-12-13,2022-11-11,2022-12-14,814,9,16,50,6,0.177,0.279,7,0.578,15,1959,5,true,0.405,17,0.269,Dismissed,Dismissed on Merit,clean,false
LC000072,West Bengal,Kolkata,Civil Court,civil,Partition,2018-10-31,2018-11-21,2019-04-07,2019-05-31,212,10,12,17,2,0.144,0.432,5,0.755,25,2889,2,false,0.605,7,0.461,Withdrawn,Settlement,clean,false
LC000073,Maharashtra,Solapur,Family Court,criminal,Cybercrime,2021-01-29,2021-04-09,2022-10-12,2022-10-30,639,12,20,31,4,0.206,0.202,9,0.64,17,4113,3,true,0.809,11,0.266,Appeal Pending,Trial,clean,false
LC000074,Madhya Pradesh,Gwalior,District Court,criminal,Fraud,2020-02-19,2020-03-23,2021-01-17,2021-02-12,359,7,14,25,7,0.354,0.637,17,0.618,13,1550,6,false,0.392,15,0.191,Defendant Won,Dismissed on Merit,clean,true
LC000075,Jammu and Kashmir,Baramulla,Civil Court,civil,Property Dispute,2016-05-27,2016-08-16,2018-08-29,2018-08-31,826,6,14,59,7,0.431,0.699,17,0.702,11,4673,3,true,0.134,13,0.298,Defendant Won,Dismissed on Merit,clean,false
LC000076,Uttar Pradesh,Aligarh,Magistrate Court,criminal,Theft,2018-09-29,2018-12-25,2020-02-19,2020-02-21,510,8,9,56,6,0.571,0.068,19,0.837,18,2498,4,false,0.458,0,0.225,Defendant Won,Dismissed on Merit,clean,false
LC000077,Karnataka,Davanagere,Civil Court,civil,Contract Breach,2014-11-24,2015-02-06,2016-10-28,2016-12-12,749,13,16,46,5,0.663,0.794,20,0.735,2,2947,2,true,0.815,6,0.473,Defendant Won,Default Judgment,clean,false
LC000078,Maharashtra,Solapur,High Court,criminal,Theft,2019-10-23,2019-12-24,2022-03-04,2022-03-17,876,11,18,48,4,0.615,0.358,3,0.484,9,4189,3,false,0.664,16,0.576,Dismissed,Default Judgment,clean,false
LC000079,Assam,Nagaon,District Court,civil,Consumer Complaint,2018-02-10,2018-03-27,2020-02-02,2020-03-22,771,8,9,85,8,0.692,0.548,9,0.549,26,3223,3,true,0.494,6,0.227,Plaintiff Won,Summary Judgment,clean,false
LC000080,Andhra Pradesh,Krishna,Civil Court,civil,Easement,2016-07-29,2016-10-05,2018-08-31,2018-09-17,780,8,11,70,5,0.698,0.253,15,0.485,17,2320,2,true,0.456,34,0.308,Appeal Pending,Trial,clean,false
LC000081,Goa,South Goa,High Court,civil,Defamation,2013-02-28,2013-04-21,2014-11-28,2014-12-01,641,3,8,80,5,0.749,0.6,13,0.641,20,2415,2,true,0.097,13,0.246,Settled,Settlement,clean,false
LC000082,Delhi,Central Delhi,District Court,civil,Property Dispute,2012-09-25,2012-11-18,2014-01-03,2014-03-04,525,8,9,58,8,0.689,0.516,12,0.267,15,4219,2,false,0.398,11,0.417,Defendant Won,Trial,clean,false
LC000083,Odisha,Sundargarh,High Court,civil,Defamation,2019-01-18,2019-03-31,2020-09-13,2020-10-01,622,4,11,56,8,0.596,0.653,11,0.419,24,2675,5,false,0.375,12,0.253,Plaintiff Won,Trial,clean,false
LC000084,Madhya Pradesh,Ujjain,High Court,civil,Matrimonial,2021-12-04,2022-02-04,2023-03-19,2023-03-21,472,10,14,33,5,0.197,0.713,5,0.418,21,3717,3,false,0.552,0,0.287,Partially Allowed,Summary Judgment,clean,false
LC000085,Karnataka,Bengaluru Urban,Consumer Forum,criminal,Fraud,2022-02-22,2022-05-21,2022-08-30,2022-10-06,226,9,17,15,3,0.338,0.391,6,0.664,19,2871,2,false,0.61,10,0.455,Settled,Settlement,clean,false
LC000086,Rajasthan,Sikar,Family Court,civil,Matrimonial,2016-03-28,2016-06-03,2017-03-19,2017-04-06,374,2,7,53,5,0.237,0.39,9,0.755,9,1704,5,true,0.701,2,0.306,Partially Allowed,Trial,clean,false
LC000087,Tamil Nadu,Tiruppur,Sessions Court,civil,Succession,2021-11-28,2021-12-13,2023-07-16,2023-08-02,612,5,10,61,8,0.881,0.773,10,0.608,22,1750,4,true,0.477,15,0.357,Dismissed,Default Judgment,clean,false
LC000088,Uttar Pradesh,Varanasi,Civil Court,criminal,Theft,2022-04-15,2022-07-03,2023-02-11,2023-04-07,357,7,15,23,8,0.242,0.07,11,0.426,28,1925,2,false,0.478,12,0.351,Defendant Won,Summary Judgment,noisy,false
LC000089,Karnataka,Mangaluru,Magistrate Court,civil,Succession,2010-08-26,2010-09-26,2012-03-01,2012-03-22,574,5,13,44,8,0.567,0.535,6,0.397,8,1910,3,false,0.486,3,0.347,Plaintiff Won,Trial,clean,false
LC000090,Gujarat,Ahmedabad,Civil Court,civil,Contract Breach,2019-06-13,2019-06-28,2020-12-07,2021-01-26,593,6,14,42,7,0.466,0.511,10,0.779,23,2508,5,true,0.628,9,0.218,Dismissed,Summary Judgment,clean,true
LC000091,Uttar Pradesh,Prayagraj,Sessions Court,civil,Easement,2017-01-29,2017-04-18,2018-05-08,2018-06-23,510,9,13,39,6,0.356,0.088,20,0.435,11,1803,6,true,0.681,31,0.427,Dismissed,Default Judgment,clean,false
LC000092,Bihar,Muzaffarpur,Consumer Forum,criminal,Cheating,2013-06-03,2013-07-14,2013-10-30,2013-11-24,174,2,3,58,4,0.268,0.428,9,0.579,17,1339,3,true,0.224,1,0.227,Withdrawn,Settlement,clean,false
LC000093,Madhya Pradesh,Sagar,Labour Court,civil,Easement,2015-06-13,2015-08-12,2015-09-29,2015-11-26,166,3,4,41,4,0.591,0.594,14,0.538,17,1152,2,true,0.315,13,0.281,Withdrawn,Settlement,clean,false
LC000094,Gujarat,Ahmedabad,Sessions Court,criminal,Murder,2017-06-23,2017-08-16,2018-07-09,2018-08-03,406,0,2,120,4,0.83,0.342,4,0.479,17,1743,2,false,0.149,3,0.428,Plaintiff Won,Dismissed on Merit,clean,false
LC000095,Madhya Pradesh,Sagar,District Court,civil,Mortgage,2018-11-06,2019-01-03,2020-11-04,2020-11-28,753,7,12,62,6,0.494,0.064,14,0.307,20,2868,2,true,0.364,2,0.241,Appeal Pending,Trial,clean,true
LC000096,Karnataka,Mysuru,Family Court,criminal,Murder,2020-03-06,2020-05-23,2020-08-14,2020-10-03,211,11,15,15,3,0.29,0.416,19,0.441,23,1877,4,true,0.741,0,0.356,Withdrawn,Settlement,clean,false
LC000097,Goa,South Goa,Consumer Forum,civil,Defamation,2016-10-21,2016-11-20,2017-02-09,2017-03-18,148,6,9,16,3,0.401,0.491,25,0.612,16,1979,2,true,0.357,6,0.204,Withdrawn,Settlement,clean,false
LC000098,Madhya Pradesh,Satna,Consumer Forum,civil,Easement,2012-11-04,2013-01-06,2015-07-14,2015-07-31,999,8,14,71,8,0.349,0.159,1,0.364,20,3326,2,true,0.5,4,0.339,Partially Allowed,Trial,clean,false
LC000099,Gujarat,Jamnagar,Consumer Forum,civil,Matrimonial,2017-10-24,2017-11-12,2019-09-20,2019-10-18,724,9,10,72,4,0.137,0.392,12,0.483,17,4813,3,true,0.349,20,0.314,Appeal Pending,Summary Judgment,clean,false
LC000100,Uttar Pradesh,Bareilly,Consumer Forum,criminal,Theft,2017-02-13,2017-03-05,2017-08-01,2017-09-14,213,9,11,19,6,0.76,0.801,14,0.646,12,974,2,false,0.336,4,0.422,Plaintiff Won,Trial,clean,false
LC000101,Maharashtra,Kolhapur,Sessions Court,civil,Easement,2019-10-22,2019-11-08,2021-06-03,2021-06-18,605,7,14,43,3,0.272,0.113,12,0.329,17,2579,2,true,0.364,16,0.271,Plaintiff Won,Trial,clean,false
LC000102,Andaman and Nicobar Islands,North and Middle Andaman,Sessions Court,civil,Matrimonial,2010-02-23,2010-04-25,2011-04-26,2011-05-02,433,8,10,43,4,0.045,0.842,14,0.623,6,1861,2,false,0.591,2,0.301,Plaintiff Won,Trial,clean,false
LC000103,Gujarat,Vadodara,Sessions Court,criminal,Murder,2021-06-04,2021-06-23,2022-03-04,2022-04-23,323,5,12,26,8,0.414,0.141,9,0.617,20,3976,3,false,0.264,19,0.371,Withdrawn,Settlement,clean,false
LC000104,Punjab,Bathinda,Civil Court,criminal,Murder,2013-04-03,2013-04-19,2014-01-09,2014-02-13,316,7,9,35,7,0.144,0.609,10,0.788,24,1492,6,true,0.633,12,0.199,Plaintiff Won,Trial,noisy,false
LC000105,Nagaland,Wokha,High Court,civil,Succession,2018-08-19,2018-09-12,2019-09-27,2019-11-09,447,13,21,21,5,0.818,0.385,18,0.838,23,3047,5,true,0.79,5,0.376,Settled,Mediation,clean,false
LC000106,West Bengal,Hooghly,High Court,civil,Matrimonial,2014-07-09,2014-09-28,2016-01-13,2016-02-28,599,8,16,37,4,0.713,0.357,23,0.553,8,2721,3,false,0.425,19,0.353,Plaintiff Won,Default Judgment,clean,false
LC000107,Odisha,Khordha,Consumer Forum,civil,Partition,2018-09-22,2018-10-21,2020-10-15,2020-12-14,814,9,15,54,7,0.298,0.125,15,0.363,8,2581,5,true,0.67,13,0.247,Plaintiff Won,Summary Judgment,clean,false
LC000108,Tamil Nadu,Chennai,Magistrate Court,civil,Injunction,2022-01-27,2022-04-22,2023-07-24,2023-09-05,586,11,18,32,4,0.583,0.702,1,0.884,37,1323,3,true,0.558,4,0.337,Partially Allowed,Default Judgment,clean,false
LC000109,Chandigarh,Chandigarh,Sessions Court,criminal,Fraud,2013-11-24,2013-12-26,2014-07-12,2014-08-03,252,3,11,22,6,0.466,0.622,15,0.426,21,2563,4,false,0.304,12,0.44,Settled,Mediation,clean,false
LC000110,Lakshadweep,Lakshadweep,High Court,criminal,Kidnapping,2013-08-25,2013-09-12,2014-07-12,2014-08-30,370,6,14,26,4,0.887,0.276,10,0.796,16,1099,3,true,0.175,24,0.262,Defendant Won,Dismissed on Merit,clean,false
