case_id,state,district,case_type,ipc_section,bailable,judge_seniority,pleading_complexity,pleading_sentiment,filing_date,disposal_date,judge_id,adjournment_count,backlog_size,outcome,duration_days
CAS-10015,Tamil Nadu,Tamil Nadu_District_2,Commercial,NA,0,17,0.82,-0.56,2022-10-04,2029-01-06,JDG-3,7,3011,Dismissed,2286
CAS-10016,Tamil Nadu,Tamil Nadu_District_3,Criminal,498A,0,20,0.41,-0.65,2021-05-21,2029-08-05,JDG-1,10,3476,Dismissed,2998
CAS-10017,Tamil Nadu,Tamil Nadu_District_9,Civil,NA,0,19,0.93,0.6,2019-05-24,2023-07-23,JDG-26,4,762,Settled,1521
CAS-10018,Tamil Nadu,Tamil Nadu_District_1,Criminal,302,1,13,0.6,0.61,2019-07-27,2028-10-10,JDG-3,24,2556,Allowed,3363
CAS-10019,Maharashtra,Maharashtra_District_8,Family,NA,0,12,0.94,0.46,2019-09-11,2027-03-04,JDG-35,9,4423,Allowed,2731
CAS-10020,Maharashtra,Maharashtra_District_3,Civil,NA,0,19,0.24,0.08,2019-06-10,2027-12-25,JDG-4,23,3734,Settled,3120
CAS-10021,Uttar Pradesh,Uttar Pradesh_District_4,Commercial,NA,0,18,0.38,0.07,2022-10-30,2032-03-22,JDG-22,20,5065,Allowed,3431
CAS-10022,Uttar Pradesh,Uttar Pradesh_District_3,Commercial,NA,0,3,0.42,0.23,2021-03-26,2027-09-28,JDG-19,16,1459,Dismissed,2377
CAS-10023,Maharashtra,Maharashtra_District_1,Family,NA,0,15,0.92,-0.21,2019-10-07,2025-05-03,JDG-29,10,1560,Settled,2035
CAS-10024,Uttar Pradesh,Uttar Pradesh_District_3,Family,NA,0,2,0.17,-0.31,2020-07-19,2027-05-18,JDG-3,24,1684,Allowed,2494
CAS-10025,Delhi,Delhi_District_6,Criminal,498A,1,3,0.39,0.56,2022-04-14,2031-09-21,JDG-39,10,4841,Settled,3447
CAS-10026,Delhi,Delhi_District_7,Criminal,498A,1,14,0.17,-0.79,2020-04-15,2028-09-29,JDG-15,5,5280,Allowed,3089
CAS-10027,Delhi,Delhi_District_7,Commercial,NA,0,23,0.63,-0.75,2021-04-17,2030-08-25,JDG-15,21,5277,Allowed,3417
CAS-10028,Karnataka,Karnataka_District_5,Civil,NA,0,9,0.79,-0.45,2021-04-02,2031-09-28,JDG-40,6,5722,Settled,3831
CAS-10029,Delhi,Delhi_District_3,Civil,NA,0,20,0.5,-0.67,2021-03-01,2026-06-07,JDG-9,6,616,Settled,1924
CAS-10030,Maharashtra,Maharashtra_District_1,Criminal,302,1,14,0.35,0.73,2019-09-04,2029-07-02,JDG-3,8,5299,Allowed,3589
CAS-10031,Karnataka,Karnataka_District_5,Civil,NA,0,15,0.18,-0.65,2021-10-08,2031-10-30,JDG-5,15,5553,Allowed,3674
CAS-10032,Delhi,Delhi_District_5,Family,NA,0,2,0.52,0.24,2021-10-12,2029-02-22,JDG-5,11,3349,Settled,2690
CAS-10033,Tamil Nadu,Tamil Nadu_District_8,Criminal,302,1,21,0.62,-0.18,2021-08-14,2029-07-09,JDG-43,2,4500,Settled,2886
CAS-10034,Tamil Nadu,Tamil Nadu_District_3,Civil,NA,0,2,0.69,-0.47,2021-04-28,2031-05-17,JDG-26,14,4607,Settled,3671
CAS-10035,Delhi,Delhi_District_2,Commercial,NA,0,10,0.55,0.31,2022-01-03,2028-12-11,JDG-29,19,2016,Settled,2534
CAS-10036,Uttar Pradesh,Uttar Pradesh_District_9,Family,NA,0,11,0.48,0.11,2019-04-06,2023-05-01,JDG-24,4,1622,Dismissed,1486
CAS-10037,Uttar Pradesh,Uttar Pradesh_District_1,Property,NA,0,24,0.78,-0.64,2019-03-03,2028-03-07,JDG-20,18,4452,Settled,3292
CAS-10038,Uttar Pradesh,Uttar Pradesh_District_3,Civil,NA,0,5,0.11,0.65,2022-11-08,2032-05-18,JDG-19,13,4860,Allowed,3479
CAS-10039,Uttar Pradesh,Uttar Pradesh_District_5,Commercial,NA,0,13,0.4,0.28,2022-03-20,2029-03-26,JDG-16,5,4136,Settled,2563
CAS-10040,Uttar Pradesh,Uttar Pradesh_District_5,Criminal,420,0,15,0.59,-0.09,2020-08-10,2028-07-07,JDG-9,24,1232,Allowed,2888
CAS-10041,Delhi,Delhi_District_1,Property,NA,0,7,0.18,0.32,2021-03-05,2029-05-14,JDG-2,11,3493,Settled,2992
CAS-10042,Uttar Pradesh,Uttar Pradesh_District_5,Commercial,NA,0,9,0.44,-0.21,2022-12-09,2030-03-07,JDG-19,21,2180,Settled,2645
CAS-10043,Tamil Nadu,Tamil Nadu_District_6,Commercial,NA,0,11,0.92,-0.62,2020-10-14,2029-03-29,JDG-28,4,4768,Allowed,3088
CAS-10044,Delhi,Delhi_District_4,Family,NA,0,9,0.21,0.24,2022-10-24,2027-09-03,JDG-25,2,2496,Settled,1775
CAS-10045,Uttar Pradesh,Uttar Pradesh_District_6,Criminal,376,0,14,0.14,0.63,2019-07-22,2028-12-07,JDG-37,23,3784,Dismissed,3426
CAS-10046,Karnataka,Karnataka_District_4,Civil,NA,0,19,0.25,-0.45,2021-08-28,2030-07-05,JDG-12,16,3986,Allowed,3233
CAS-10047,Tamil Nadu,Tamil Nadu_District_8,Family,NA,0,22,0.35,-0.5,2022-09-01,2028-04-06,JDG-28,9,3245,Settled,2044
CAS-10048,Maharashtra,Maharashtra_District_4,Commercial,NA,0,23,0.13,-0.35,2022-06-30,2029-06-06,JDG-6,22,3008,Allowed,2533
CAS-10049,Karnataka,Karnataka_District_5,Civil,NA,0,3,0.17,0.6,2022-02-16,2032-08-10,JDG-33,14,5624,Allowed,3828
CAS-10050,Maharashtra,Maharashtra_District_2,Civil,NA,0,12,0.63,-0.19,2022-01-27,2032-12-11,JDG-1,23,5284,Settled,3971
CAS-10051,Tamil Nadu,Tamil Nadu_District_1,Property,NA,0,6,1.0,0.09,2020-11-07,2030-04-07,JDG-10,6,4136,Allowed,3438
CAS-10052,Karnataka,Karnataka_District_1,Property,NA,0,15,0.28,-0.4,2020-05-02,2026-11-07,JDG-32,14,1216,Allowed,2380
CAS-10053,Tamil Nadu,Tamil Nadu_District_8,Criminal,420,1,23,0.8,0.03,2021-12-13,2029-02-06,JDG-44,13,2484,Settled,2612
CAS-10054,Karnataka,Karnataka_District_9,Civil,NA,0,17,0.53,-0.13,2022-12-16,2030-09-03,JDG-34,6,4481,Allowed,2818
CAS-10055,Delhi,Delhi_District_2,Criminal,498A,0,3,0.41,0.02,2020-06-25,2032-02-13,JDG-42,16,5615,Dismissed,4250
CAS-10056,Maharashtra,Maharashtra_District_5,Property,NA,0,5,0.51,0.55,2019-05-06,2028-10-09,JDG-43,18,4079,Dismissed,3444
CAS-10057,Karnataka,Karnataka_District_3,Civil,NA,0,24,0.22,-0.56,2019-12-26,2027-02-05,JDG-4,23,1399,Settled,2598
CAS-10058,Karnataka,Karnataka_District_3,Commercial,NA,0,19,0.64,-0.44,2020-06-17,2030-01-22,JDG-21,22,5624,Allowed,3506
CAS-10059,Maharashtra,Maharashtra_District_5,Civil,NA,0,13,0.29,-0.22,2022-01-01,2028-10-11,JDG-26,15,2253,Settled,2475
CAS-10060,Maharashtra,Maharashtra_District_6,Commercial,NA,0,17,0.15,-0.36,2020-12-19,2025-09-28,JDG-47,2,2555,Dismissed,1744
CAS-10061,Delhi,Delhi_District_7,Criminal,323,1,15,0.23,-0.59,2021-07-07,2027-08-28,JDG-46,4,2146,Dismissed,2243
CAS-10062,Tamil Nadu,Tamil Nadu_District_2,Criminal,498A,0,16,0.19,0.38,2023-02-06,2029-05-24,JDG-44,11,1562,Settled,2299
CAS-10063,Maharashtra,Maharashtra_District_4,Civil,NA,0,5,0.42,0.24,2019-08-16,2027-12-06,JDG-47,19,2658,Allowed,3034
CAS-10064,Delhi,Delhi_District_8,Civil,NA,0,13,0.21,-0.35,2019-11-11,2027-03-31,JDG-45,7,3239,Allowed,2697
CAS-10065,Uttar Pradesh,Uttar Pradesh_District_9,Civil,NA,0,22,0.19,-0.56,2022-10-05,2031-09-03,JDG-11,24,3063,Allowed,3255
CAS-10066,Maharashtra,Maharashtra_District_7,Commercial,NA,0,20,0.12,0.32,2020-05-18,2024-04-02,JDG-38,7,967,Dismissed,1415
CAS-10067,Maharashtra,Maharashtra_District_2,Commercial,NA,0,9,0.53,0.54,2021-04-15,2026-12-26,JDG-19,6,1641,Settled,2081
CAS-10068,Tamil Nadu,Tamil Nadu_District_1,Family,NA,0,16,0.74,0.43,2021-04-24,2027-01-24,JDG-43,7,2328,Dismissed,2101
CAS-10069,Maharashtra,Maharashtra_District_6,Criminal,420,0,24,0.59,-0.48,2019-11-17,2028-05-16,JDG-37,9,4213,Settled,3103
CAS-10070,Maharashtra,Maharashtra_District_9,Commercial,NA,0,16,0.52,-0.14,2022-03-06,2029-01-21,JDG-34,18,2104,Dismissed,2513
CAS-10071,Karnataka,Karnataka_District_1,Family,NA,0,9,0.85,0.4,2022-04-03,2030-02-27,JDG-5,4,5320,Dismissed,2887
CAS-10072,Karnataka,Karnataka_District_4,Civil,NA,0,14,0.63,0.29,2020-02-26,2026-10-02,JDG-33,9,1818,Dismissed,2410
CAS-10073,Maharashtra,Maharashtra_District_9,Civil,NA,0,2,0.45,0.05,2019-04-14,2029-09-05,JDG-39,22,4187,Dismissed,3797
CAS-10074,Karnataka,Karnataka_District_7,Commercial,NA,0,9,0.72,-0.53,2020-02-24,2030-09-04,JDG-29,16,5908,Allowed,3845
CAS-10075,Maharashtra,Maharashtra_District_1,Property,NA,0,6,0.8,-0.57,2020-05-31,2028-05-12,JDG-10,5,3145,Settled,2903
CAS-10076,Uttar Pradesh,Uttar Pradesh_District_4,Property,NA,0,21,0.46,0.48,2019-05-10,2027-01-04,JDG-27,6,3728,Dismissed,2796
CAS-10077,Karnataka,Karnataka_District_3,Family,NA,0,5,0.74,0.16,2022-07-01,2031-09-16,JDG-10,21,4606,Allowed,3364
CAS-10078,Delhi,Delhi_District_8,Criminal,302,0,16,0.75,0.15,2021-10-10,2031-09-07,JDG-29,13,4951,Allowed,3619
CAS-10079,Maharashtra,Maharashtra_District_6,Commercial,NA,0,24,0.21,-0.42,2021-09-09,2027-07-10,JDG-1,15,1705,Dismissed,2130
CAS-10080,Karnataka,Karnataka_District_8,Property,NA,0,16,0.15,-0.26,2019-09-01,2029-03-30,JDG-25,21,4712,Allowed,3498
CAS-10081,Karnataka,Karnataka_District_6,Criminal,420,0,3,0.93,0.14,2022-04-17,2033-08-31,JDG-24,13,5358,Settled,4154
CAS-10082,Tamil Nadu,Tamil Nadu_District_6,Property,NA,0,2,0.43,0.13,2020-04-20,2030-01-27,JDG-40,23,3213,Settled,3569
CAS-10083,Maharashtra,Maharashtra_District_7,Commercial,NA,0,20,0.41,-0.05,2019-10-13,2028-04-06,JDG-16,18,5024,Dismissed,3098
CAS-10084,Delhi,Delhi_District_1,Commercial,NA,0,16,0.57,0.06,2022-07-11,2030-04-21,JDG-29,18,2661,Dismissed,2841
CAS-10085,Karnataka,Karnataka_District_3,Criminal,376,0,24,0.98,0.54,2021-04-12,2029-06-14,JDG-3,8,3579,Dismissed,2985
CAS-10086,Karnataka,Karnataka_District_8,Civil,NA,0,16,0.61,0.62,2022-01-06,2032-05-02,JDG-32,16,5883,Allowed,3769
CAS-10087,Karnataka,Karnataka_District_4,Family,NA,0,6,0.23,-0.15,2019-01-07,2025-08-29,JDG-10,24,1443,Dismissed,2426
CAS-10088,Maharashtra,Maharashtra_District_7,Property,NA,0,20,0.21,0.6,2021-01-15,2027-07-27,JDG-2,19,1013,Dismissed,2384
CAS-10089,Tamil Nadu,Tamil Nadu_District_4,Property,NA,0,6,0.47,0.08,2021-07-28,2031-04-28,JDG-35,3,5672,Allowed,3561
CAS-10090,Tamil Nadu,Tamil Nadu_District_8,Civil,NA,0,11,0.61,0.78,2022-05-17,2032-12-11,JDG-14,24,4723,Settled,3861
CAS-10091,Delhi,Delhi_District_9,Civil,NA,0,23,0.68,-0.13,2021-03-15,2028-05-17,JDG-11,14,3157,Allowed,2620
CAS-10092,Delhi,Delhi_District_5,Criminal,376,0,7,0.16,-0.15,2019-12-08,2030-01-23,JDG-21,7,5997,Dismissed,3699
CAS-10093,Maharashtra,Maharashtra_District_6,Commercial,NA,0,9,0.33,0.21,2021-06-24,2028-01-20,JDG-45,22,954,Settled,2401
CAS-10094,Delhi,Delhi_District_5,Family,NA,0,15,0.14,-0.53,2021-03-04,2028-06-12,JDG-29,12,4276,Settled,2657
CAS-10095,Karnataka,Karnataka_District_8,Commercial,NA,0,5,0.75,-0.32,2019-04-08,2024-10-21,JDG-47,4,1833,Allowed,2023
CAS-10096,Uttar Pradesh,Uttar Pradesh_District_8,Civil,NA,0,5,0.59,-0.54,2020-04-26,2031-06-26,JDG-9,21,4420,Allowed,4078
CAS-10097,Delhi,Delhi_District_5,Civil,NA,0,10,0.42,-0.14,2019-02-11,2026-02-19,JDG-25,12,2139,Dismissed,2565
CAS-10098,Karnataka,Karnataka_District_3,Criminal,323,1,13,0.97,-0.79,2021-03-27,2029-10-07,JDG-17,13,2822,Allowed,3116
CAS-10099,Maharashtra,Maharashtra_District_7,Civil,NA,0,16,0.18,0.73,2020-10-22,2030-01-03,JDG-17,20,4562,Dismissed,3360
CAS-10100,Uttar Pradesh,Uttar Pradesh_District_6,Civil,NA,0,19,0.54,-0.45,2020-02-05,2025-04-07,JDG-23,10,546,Allowed,1888
CAS-10101,Uttar Pradesh,Uttar Pradesh_District_6,Criminal,323,0,10,0.27,-0.62,2020-08-16,2029-04-08,JDG-31,24,2000,Allowed,3157
CAS-10102,Tamil Nadu,Tamil Nadu_District_7,Commercial,NA,0,19,0.57,0.23,2022-01-26,2028-04-27,JDG-3,15,1682,Settled,2283
CAS-10103,Karnataka,Karnataka_District_8,Criminal,376,0,16,0.82,0.06,2022-11-21,2030-08-02,JDG-18,23,1420,Settled,2811
CAS-10104,Uttar Pradesh,Uttar Pradesh_District_2,Commercial,NA,0,11,0.99,-0.8,2021-11-28,2030-06-01,JDG-46,14,3712,Settled,3107
CAS-10105,Maharashtra,Maharashtra_District_5,Family,NA,0,17,0.89,0.77,2022-10-14,2027-12-28,JDG-20,11,1420,Settled,1901
CAS-10106,Maharashtra,Maharashtra_District_1,Commercial,NA,0,14,0.42,-0.34,2022-09-29,2026-04-08,JDG-4,5,645,Dismissed,1287
CAS-10107,Delhi,Delhi_District_5,Property,NA,0,6,0.18,-0.13,2019-01-11,2027-10-09,JDG-13,15,3915,Allowed,3193
CAS-10108,Maharashtra,Maharashtra_District_7,Family,NA,0,5,0.31,0.71,2021-07-25,2028-04-01,JDG-49,23,1384,Allowed,2442
CAS-10109,Karnataka,Karnataka_District_8,Property,NA,0,6,0.67,-0.45,2021-11-09,2030-06-25,JDG-49,10,3670,Settled,3150
CAS-10110,Karnataka,Karnataka_District_3,Criminal,420,1,18,0.24,0.51,2019-11-25,2028-09-26,JDG-4,7,5376,Allowed,3228
CAS-10111,Uttar Pradesh,Uttar Pradesh_District_2,Commercial,NA,0,10,0.45,-0.36,2021-07-09,2026-11-09,JDG-34,10,1718,Allowed,1949
CAS-10112,Maharashtra,Maharashtra_District_8,Civil,NA,0,6,0.76,-0.35,2021-07-02,2031-11-01,JDG-6,16,4633,Settled,3774
CAS-10113,Tamil Nadu,Tamil Nadu_District_5,Property,NA,0,18,0.16,0.61,2022-09-08,2030-11-01,JDG-40,20,3245,Allowed,2976
CAS-10114,Karnataka,Karnataka_District_1,Commercial,NA,0,17,0.69,0.56,2022-04-08,2028-09-11,JDG-36,17,2204,Dismissed,2348
CAS-10115,Karnataka,Karnataka_District_6,Family,NA,0,8,0.89,0.74,2020-06-18,2030-06-09,JDG-42,20,5650,Allowed,3643
CAS-10116,Karnataka,Karnataka_District_5,Criminal,376,1,15,0.78,-0.39,2022-06-10,2031-09-08,JDG-17,3,5843,Dismissed,3377
CAS-10117,Delhi,Delhi_District_8,Property,NA,0,4,0.22,-0.35,2022-06-10,2031-10-18,JDG-32,8,5181,Allowed,3417
CAS-10118,Tamil Nadu,Tamil Nadu_District_5,Property,NA,0,23,0.94,0.3,2020-02-05,2030-09-09,JDG-10,19,5326,Allowed,3869
CAS-10119,Maharashtra,Maharashtra_District_6,Criminal,498A,1,19,0.99,0.28,2021-02-01,2029-12-14,JDG-35,13,4247,Settled,3238
CAS-10120,Tamil Nadu,Tamil Nadu_District_7,Property,NA,0,12,0.84,-0.21,2022-12-24,2031-12-13,JDG-34,20,3006,Settled,3276
CAS-10121,Tamil Nadu,Tamil Nadu_District_1,Commercial,NA,0,14,0.87,0.04,2022-02-27,2029-06-13,JDG-47,12,2323,Allowed,2663
CAS-10122,Tamil Nadu,Tamil Nadu_District_6,Commercial,NA,0,4,0.96,-0.56,2023-01-16,2033-08-09,JDG-3,22,5464,Dismissed,3858
CAS-10123,Maharashtra,Maharashtra_District_6,Criminal,323,0,18,0.69,-0.21,2021-12-19,2030-12-23,JDG-46,16,2755,Settled,3291
CAS-10124,Maharashtra,Maharashtra_District_5,Commercial,NA,0,15,0.58,-0.77,2021-01-03,2026-07-07,JDG-14,13,1192,Dismissed,2011
CAS-10125,Maharashtra,Maharashtra_District_4,Family,NA,0,10,0.28,-0.01,2020-05-15,2029-10-30,JDG-2,23,5609,Dismissed,3455
CAS-10126,Uttar Pradesh,Uttar Pradesh_District_1,Property,NA,0,19,0.71,-0.17,2020-12-29,2031-04-28,JDG-33,16,5202,Allowed,3772
CAS-10127,Maharashtra,Maharashtra_District_8,Commercial,NA,0,23,0.77,-0.57,2021-12-05,2029-06-22,JDG-32,13,3436,Dismissed,2756
CAS-10128,Tamil Nadu,Tamil Nadu_District_4,Civil,NA,0,11,0.8,0.71,2020-08-11,2025-10-26,JDG-26,2,501,Allowed,1902
CAS-10129,Delhi,Delhi_District_6,Criminal,420,1,16,0.28,-0.53,2019-11-13,2027-07-27,JDG-3,18,2395,Dismissed,2813
CAS-10130,Maharashtra,Maharashtra_District_6,Civil,NA,0,8,0.65,-0.32,2022-01-12,2032-08-14,JDG-47,13,5883,Dismissed,3867
CAS-10131,Karnataka,Karnataka_District_4,Family,NA,0,7,0.84,-0.08,2021-05-23,2029-11-01,JDG-14,4,5404,Dismissed,3084
CAS-10132,Delhi,Delhi_District_6,Family,NA,0,24,0.69,-0.03,2020-11-15,2027-06-25,JDG-8,20,2669,Settled,2413
CAS-10133,Uttar Pradesh,Uttar Pradesh_District_7,Commercial,NA,0,13,0.6,0.35,2022-10-07,2032-02-16,JDG-41,23,5144,Dismissed,3419
CAS-10134,Karnataka,Karnataka_District_3,Commercial,NA,0,23,0.13,-0.39,2021-08-14,2029-02-15,JDG-24,13,4388,Settled,2742
CAS-10135,Tamil Nadu,Tamil Nadu_District_4,Family,NA,0,19,0.88,0.13,2022-02-14,2027-02-11,JDG-34,5,1773,Allowed,1823
CAS-10136,Delhi,Delhi_District_4,Criminal,498A,0,23,0.42,-0.19,2021-03-04,2030-06-10,JDG-8,19,4123,Allowed,3385
CAS-10137,Delhi,Delhi_District_2,Property,NA,0,6,0.16,-0.1,2019-01-14,2030-02-11,JDG-39,23,4976,Settled,4046
CAS-10138,Tamil Nadu,Tamil Nadu_District_2,Civil,NA,0,3,0.87,-0.79,2020-09-21,2029-04-28,JDG-14,2,5055,Allowed,3141
CAS-10139,Uttar Pradesh,Uttar Pradesh_District_9,Civil,NA,0,6,0.32,0.19,2020-07-29,2027-03-07,JDG-20,2,2860,Settled,2412
CAS-10140,Karnataka,Karnataka_District_5,Property,NA,0,13,0.53,0.55,2022-06-28,2030-05-16,JDG-20,13,2703,Allowed,2879
CAS-10141,Delhi,Delhi_District_9,Property,NA,0,21,0.15,0.22,2020-04-29,2028-06-28,JDG-5,4,4793,Settled,2982
CAS-10142,Maharashtra,Maharashtra_District_3,Family,NA,0,11,0.46,-0.03,2022-04-23,2027-01-18,JDG-39,12,625,Dismissed,1731
CAS-10143,Karnataka,Karnataka_District_2,Family,NA,0,7,0.23,-0.75,2022-09-21,2031-04-29,JDG-42,14,4903,Dismissed,3142
CAS-10144,Delhi,Delhi_District_5,Civil,NA,0,24,0.71,-0.09,2019-11-07,2025-10-18,JDG-26,6,2018,Dismissed,2172
CAS-10145,Delhi,Delhi_District_2,Criminal,302,1,9,0.88,0.43,2021-03-24,2030-07-30,JDG-4,9,4940,Settled,3415
CAS-10146,Maharashtra,Maharashtra_District_3,Property,NA,0,17,0.69,-0.63,2022-03-30,2030-09-27,JDG-41,3,5605,Settled,3103
CAS-10147,Uttar Pradesh,Uttar Pradesh_District_9,Property,NA,0,14,0.36,-0.63,2020-05-08,2027-12-29,JDG-4,3,3673,Allowed,2791
CAS-10148,Karnataka,Karnataka_District_6,Criminal,420,0,10,0.39,0.59,2020-12-25,2027-09-13,JDG-15,2,1867,Settled,2453
CAS-10149,Tamil Nadu,Tamil Nadu_District_7,Property,NA,0,20,0.45,-0.08,2019-10-18,2026-01-29,JDG-44,18,1235,Allowed,2295
CAS-10150,Delhi,Delhi_District_3,Criminal,420,1,10,0.44,0.58,2021-02-21,2029-02-16,JDG-43,17,3001,Dismissed,2917
CAS-10151,Delhi,Delhi_District_5,Commercial,NA,0,24,0.91,-0.69,2019-02-20,2024-11-16,JDG-15,16,1214,Settled,2096
CAS-10152,Uttar Pradesh,Uttar Pradesh_District_6,Commercial,NA,0,3,0.25,0.19,2022-03-25,2031-10-02,JDG-35,22,4135,Allowed,3478
CAS-10153,Tamil Nadu,Tamil Nadu_District_2,Criminal,302,0,5,0.84,0.04,2021-11-28,2031-03-01,JDG-13,8,3679,Dismissed,3380
CAS-10154,Maharashtra,Maharashtra_District_8,Family,NA,0,21,0.54,0.49,2021-06-09,2028-11-01,JDG-13,2,5791,Dismissed,2702
CAS-10155,Uttar Pradesh,Uttar Pradesh_District_6,Family,NA,0,10,0.81,0.23,2019-06-01,2026-04-07,JDG-16,11,3131,Settled,2502
CAS-10156,Delhi,Delhi_District_5,Family,NA,0,19,0.76,0.56,2021-09-19,2028-07-23,JDG-5,8,3773,Dismissed,2499
CAS-10157,Maharashtra,Maharashtra_District_3,Family,NA,0,3,0.53,0.06,2021-03-15,2030-08-05,JDG-15,23,4003,Dismissed,3430
CAS-10158,Tamil Nadu,Tamil Nadu_District_7,Commercial,NA,0,11,0.33,0.21,2022-10-29,2027-12-24,JDG-39,3,1843,Settled,1882
CAS-10159,Maharashtra,Maharashtra_District_7,Family,NA,0,15,0.19,0.36,2020-09-12,2025-06-20,JDG-46,11,1690,Settled,1742
CAS-10160,Maharashtra,Maharashtra_District_4,Commercial,NA,0,10,0.39,-0.44,2021-08-13,2028-11-29,JDG-5,10,3546,Dismissed,2665
CAS-10161,Uttar Pradesh,Uttar Pradesh_District_8,Criminal,498A,1,13,0.39,-0.27,2020-12-27,2030-03-19,JDG-44,7,5749,Allowed,3369
CAS-10162,Maharashtra,Maharashtra_District_3,Criminal,376,1,23,0.61,0.73,2020-09-09,2027-12-12,JDG-30,14,2834,Settled,2650
CAS-10163,Tamil Nadu,Tamil Nadu_District_1,Family,NA,0,9,0.82,0.68,2020-09-18,2029-10-01,JDG-40,14,4943,Allowed,3300
CAS-10164,Uttar Pradesh,Uttar Pradesh_District_4,Family,NA,0,2,0.86,0.03,2021-02-22,2029-07-29,JDG-12,7,5051,Allowed,3079
CAS-10165,Tamil Nadu,Tamil Nadu_District_2,Property,NA,0,15,0.21,-0.44,2019-12-27,2027-03-05,JDG-21,14,2101,Allowed,2625
CAS-10166,Karnataka,Karnataka_District_9,Civil,NA,0,2,0.37,-0.16,2022-12-13,2031-11-21,JDG-22,24,2189,Dismissed,3265
CAS-10167,Tamil Nadu,Tamil Nadu_District_5,Family,NA,0,11,0.55,-0.16,2022-12-23,2028-05-27,JDG-35,7,1093,Allowed,1982
CAS-10168,Delhi,Delhi_District_6,Commercial,NA,0,17,0.29,0.51,2021-03-03,2029-11-06,JDG-33,16,4725,Dismissed,3170
CAS-10169,Maharashtra,Maharashtra_District_6,Property,NA,0,21,0.55,-0.16,2022-11-16,2030-09-13,JDG-21,14,3029,Allowed,2858
CAS-10170,Tamil Nadu,Tamil Nadu_District_9,Family,NA,0,14,0.59,0.75,2020-03-22,2024-06-23,JDG-6,14,1042,Settled,1554
CAS-10171,Karnataka,Karnataka_District_2,Family,NA,0,24,0.24,-0.7,2021-02-16,2027-05-28,JDG-25,20,2453,Allowed,2292
CAS-10172,Karnataka,Karnataka_District_2,Property,NA,0,16,0.99,-0.42,2021-06-01,2030-01-09,JDG-7,4,4744,Settled,3144
CAS-10173,Tamil Nadu,Tamil Nadu_District_4,Civil,NA,0,6,0.65,-0.31,2019-05-04,2026-07-22,JDG-38,21,919,Dismissed,2636
CAS-10174,Delhi,Delhi_District_5,Family,NA,0,4,0.43,-0.14,2022-04-21,2029-03-03,JDG-2,15,2264,Allowed,2508
CAS-10175,Karnataka,Karnataka_District_5,Property,NA,0,11,0.71,-0.5,2019-08-01,2027-08-05,JDG-26,6,3584,Allowed,2926
CAS-10176,Uttar Pradesh,Uttar Pradesh_District_5,Property,NA,0,19,0.16,-0.73,2019-11-04,2028-07-16,JDG-26,18,3542,Allowed,3177
